attack_fraction,protect_fraction,efficiency
0.00,0.00,0.09444426485627173
0.02,0.00,0.08113684662902797
0.04,0.00,0.0498253650475583
0.06,0.00,0.03384980930974754
0.08,0.00,0.02040881507014318
0.10,0.00,0.016484616318421918
0.12,0.00,0.014410831684060427
0.14,0.00,0.01244749371196455
0.16,0.00,0.011394386569388891
0.18,0.00,0.01089507375562171
0.20,0.00,0.010646714836156226
0.22,0.00,0.010106210030610924
0.24,0.00,0.00974933147195416
0.26,0.00,0.009429120246050223
0.28,0.00,0.009152662211702581
0.30,0.00,0.008981493925993095
0.32,0.00,0.008839876894895392
0.34,0.00,0.008517241156776031
0.36,0.00,0.008279766228135785
0.38,0.00,0.008023260679903204
0.40,0.00,0.008133171715645938
0.42,0.00,0.007241002521313228
0.44,0.00,0.00731814357702282
0.46,0.00,0.00701388654635408
0.48,0.00,0.0066456960825092715