车站名称,累计距离（km）,站间距离（km）,开通时间
美兰湖,0,-,2010-12-28
罗南新村,1347,1347,2010-12-28
潘广路,4177,2830,2011-6-30
刘行,5157,980,2011-6-30
顾村公园,6857,1700,2010-12-28
祁华路,9566,2709,2010-12-28
上海大学,11257,1691,2009-12-5
南陈路,12194,937,2009-12-5
上大路,13537,1343,2009-12-5
场中路,14883,1346,2009-12-5
大场镇,16115,1232,2009-12-5
行知路,17152,1037,2009-12-5
大华三路,18443,1291,2009-12-5
新村路,19558,1115,2009-12-5
岚皋路,20402,844,2009-12-5
镇坪路,21989,1587,2009-12-5
长寿路,23004,1015,2009-12-5
昌平路,23835,831,2009-12-5
静安寺,25156,1321,2009-12-5
常熟路,26247,1091,2009-12-5
肇嘉浜路,27932,1685,2009-12-5
东安路,28911,979,2009-12-5
龙华中路,29639,728,2009-12-5
后滩,31886,2247,2009-12-5
长清路,33149,1263,2009-12-5
耀华路,34075,926,2009-12-5
云台路,34778,703,2009-12-5
高科西路,35851,1073,2009-12-5
杨高南路,37354,1503,2009-12-5
锦绣路,38767,1413,2009-12-5
芳华路,40210,1443,2009-12-5
龙阳路,42050,1840,2009-12-5
花木路,43425,1375,2009-12-5